company_id,name,website_domain,score,summary
c_d5eb3a7246b2,Robocurve,robocurve.org,59.04,"Robocurve (Artificial Intelligence) — Robocurve builds open-source tools and independent benchmarks to measure how well robots can do real-world jobs. Instead of relying on unverified demo videos from frontier labs, we score their models  Momentum signals: 3 GitHub stars, a top Hacker News post at 242 points. It scores 59/100, driven mainly by thesis match and traction."
c_715e4859f95a,Experiential Labs,experientiallabs.ai,57.07,"Experiential Labs (Artificial Intelligence) — We are building an open source gateway for AI budget holders to control model access and turn their traffic into better models that they own. We're a team that has earned an ML PhD at Georgia Tech, sc Momentum signals: a top Hacker News post at 71 points. It scores 57/100, driven mainly by thesis match and funding stage."
c_149b848805d2,Inkbox,inkbox.ai,56.96,"Inkbox (Developer Tools, Infrastructure, AI) — For your AI agents to behave like teammates, we give them persistent identities with their own email, phone, and iMessage. We also provide them an agent-to-agent channel, so they can communicate for t Momentum signals: 85 GitHub stars, a top Hacker News post at 7 points. It scores 57/100, driven mainly by thesis match and traction."
c_01b330851b16,"Change Agent AI, Inc.",,56.54,"Change Agent AI, Inc. operates in Other Technology (based in VA). It appears to be at the Seed stage raising about $1,797,500 (per SEC filings). It scores 57/100, driven mainly by thesis match and funding stage."
c_5a1658af31e1,RentAHuman,rentahuman.ai,55.3,"RentAHuman (Consumer) — Marketplace for AI agents to hire humans. Momentum signals: a top Hacker News post at 155 points. It scores 55/100, driven mainly by thesis match and traction."
c_47b60f38ee86,screenpipe,screenpipe.com,54.91,"screenpipe (Artificial Intelligence) — Screenpipe records and learns how people in your company work and turns it into a searchable memory, documents, and AI agents. Model agnostic and data is stored on your device and/or where your team c Momentum signals: 21657 GitHub stars, a top Hacker News post at 88 points. It scores 55/100, driven mainly by thesis match and traction."
c_632cea50c934,"APOLLO AI LAB, CO.",,53.9,"APOLLO AI LAB, CO. operates in Computers (based in CA). It appears to be at the Seed stage (per SEC filings). It scores 54/100, driven mainly by funding stage and thesis match."
c_5da4dfd83103,NebuSec,nebusec.ai,53.22,"NebuSec (Artificial Intelligence) — NebuSec is founded by the world’s #1 hacking team.

We were the first team to build an nginx RCE and the first to root Android 17. Our co-founders include members of the world’s No. 1 CTF team, DEF  Momentum signals: 1655 GitHub stars, a top Hacker News post at 417 points. It scores 53/100, driven mainly by traction and thesis match."
c_e959c97330ba,Hoplite,hoplite.sh,53.09,"Hoplite (Developer Tools, Cloud Computing, AI) — Effortlessly deploy cloud software factories. Momentum signals: a top Hacker News post at 81 points. It scores 53/100, driven mainly by thesis match and funding stage."
c_f5693e665958,Bloomy,bloomylearning.com,52.42,"Bloomy (AI-Enhanced Learning) — Bloomy is the best way to teach anything in school. We provide schools with an AI-native academic system comprising core and supplemental curriculum, AI teaching, and assessment to help K-12 students  Momentum signals: a top Hacker News post at 102 points. It scores 52/100, driven mainly by thesis match and traction."
c_8a5389d63287,Nori,norirobotics.com,51.18,"Nori (Hard Tech, Hardware, Robotics) — We manufacture Nori: A sub-$2000 bimanual mobile manipulator that can clean rooms, restock shelves, and fold clothes. Nori can handle basic tasks out of the box, and its software lets anyone teach Nor Momentum signals: a top Hacker News post at 201 points. It scores 51/100, driven mainly by thesis match and traction."
c_c6d7af1111a6,Tolmo,tolmo.com,50.62,"Tolmo (DevSecOps, Security, AI) — Tolmo is an agent-driven security platform that secures every layer — code, CI, cloud applications at the speed of AI changes.

Codebases are growing faster than ever, at a rate humans can’t keep up Momentum signals: a top Hacker News post at 12 points. It scores 51/100, driven mainly by thesis match and funding stage."
c_3a5a85b64c3c,Mireye,mireye.com,49.25,"Mireye (Geographic Information System, AI, Location-based) — AI agents are starting to act in the real world, but they can't reliably understand it. 

Every fact about a place has its own silo: land in GIS maps, power in utility portals, people in census tabl Momentum signals: a top Hacker News post at 28 points. It scores 49/100, driven mainly by thesis match and funding stage."
c_4a7c64db1830,Them3 Labs Inc.,,48.09,"Them3 Labs Inc. operates in Other Technology (based in FL). It appears to be at the Seed stage (per SEC filings). It scores 48/100, driven mainly by funding stage and thesis match."
c_732aa0af5137,"Build HABU, Inc.",,48.04,"Build HABU, Inc. operates in Other (based in AZ). It appears to be at the Seed stage raising about $1,126,000 (per SEC filings). It scores 48/100, driven mainly by funding stage and thesis match."
c_7e283f7ed2b9,LemonLime,lemonlime.com,47.62,"LemonLime (Artificial Intelligence, SaaS, Sales, Marketing) — LemonLime runs fully automated sales and marketing for small businesses.

Every morning, LemonLime finds you new leads and drafts personalized outreach, prepares branded content, and identifies unta Momentum signals: a top Hacker News post at 195 points. It scores 48/100, driven mainly by thesis match and traction."
c_6f008de56875,OpenProse,prose.md,47.37,"OpenProse (B2B) — OpenProse is building open-source infrastructure for long-running AI work: a declarative language plus a reactive harness/runtime for reliable agent workflows. It scores 47/100, driven mainly by thesis match and funding stage."
c_26643f27d799,Marble,joinmarble.ai,47.34,"Marble (SaaS, Restaurant Tech, AI) — Marble is the first AI-native operating system for the restaurant back-of-house. 

Restaurants, cafes and bars still run on a patchwork of disconnected point solutions, spreadsheets, clipboards and  Momentum signals: a top Hacker News post at 8 points. It scores 47/100, driven mainly by thesis match and funding stage."
c_cf4fe5ffd36a,"Six68 Technologies, Inc.",,47.24,"Six68 Technologies, Inc. operates in Other Technology (based in CO). It appears to be at the Early stage raising about $5,000,000 (per SEC filings). It scores 47/100, driven mainly by funding stage and thesis match."
c_ca2199019d59,Atlia,atlia.com,47.07,"Atlia (Artificial Intelligence, Real Estate, Proptech, Big Data, AI) — We use AI agents to manage short-term rental properties by running operations completely autonomously. We cut traditional human management fees in half so owners take home 20% to 30% more revenue. And It scores 47/100, driven mainly by thesis match and funding stage."
c_221e6ee8a7f7,Speko,speko.ai,46.85,"Speko (Artificial Intelligence, Developer Tools, Conversational AI) — Speko is a router for voice models: one API key, and your voice agent runs on the speech-to-text, LLM, and text-to-speech models we measured as best for your language and use case. The measurements ar Momentum signals: a top Hacker News post at 118 points. It scores 47/100, driven mainly by thesis match and traction."
c_1cb9d017634f,Agnost AI,agnost.ai,46.78,"Agnost AI (Artificial Intelligence) — Agnost AI reads every conversation a company's AI Agent has with its users to find where it's silently failing and then turns that same data into custom models that run the agent better, faster & chea It scores 47/100, driven mainly by thesis match and funding stage."
c_ae49df96ddd6,Akon Labs,akonlabs.com,46.74,"Akon Labs (Generative AI, SaaS, B2B, AI) — Databricks for Enterprise Codebases It scores 47/100, driven mainly by thesis match and funding stage."
c_26613dd487d2,River,meetriver.com,46.73,"River (Artificial Intelligence, Productivity) — AI made software engineers 100x more productive. We're bringing that same transformation to knowledge workers with the AI desktop. It scores 47/100, driven mainly by thesis match and funding stage."
c_1ff08f9bf36c,"Parallel Robotics, Inc.",,46.29,"Parallel Robotics, Inc. operates in Other Technology (based in MI). It appears to be at the Early stage raising about $11,310,187 (per SEC filings). It scores 46/100, driven mainly by funding stage and thesis match."
