company_id,name,website_domain,description,industry_primary,verticals,year_founded,hq_city,hq_state,hq_country,funding_total_usd,last_round_type,last_round_size_usd,last_round_date,filing_count,source,github_stars,github_activity_90d,hn_mentions,hn_points,open_job_postings
c_fe0fa87b244e,"Typewriter Therapeutics, Inc.",,,Biotechnology,,2022.0,CAMBRIDGE,MA,US,56299999.0,Later,56299999.0,2026-09-21,1,edgar,,,,,
c_9c4ae0859b32,Galvix Recovery Solutions Corp,,,Other Health Care,,2026.0,FAIRHOPE,AL,US,750000.0,Seed,750000.0,2026-09-21,1,edgar,,,,,
c_020c7ceaa639,"Medallion Racing VI, LLC",,,Other,,2026.0,NICHOLASVILLE,KY,US,,Seed,,2026-09-21,1,edgar,,,,,
c_f4379640551a,"FLI Twin Oaks Holdings, LLC",,,Other,,2026.0,GREENVILLE,SC,US,5000000.0,Early,5000000.0,2026-09-21,1,edgar,,,,,
c_ad7303ab6173,ReachBenefits 01-15 LLC,,,Other Technology,,2026.0,FLOWER MOUND,TX,US,75000000.0,Later,75000000.0,2026-09-21,1,edgar,,,,,
c_e90fae6e2cf7,"Fresenius Medical Care Will Clayton, LLC",,,Other Health Care,,2025.0,WALTHAM,MA,US,3789426.0,Early,3789426.0,2026-09-21,1,edgar,,,,,
c_5d38be9e57fb,Oberon Technology Holdings Inc.,,,Other Technology,,2026.0,SANTA MONICA,CA,US,5000000.0,Early,5000000.0,2026-09-21,1,edgar,,,,,
c_1ff08f9bf36c,"Parallel Robotics, Inc.",,,Other Technology,,2026.0,ANN ARBOR,MI,US,11310187.0,Early,11310187.0,2026-09-21,1,edgar,,,,,
c_732aa0af5137,"Build HABU, Inc.",,,Other,,2026.0,PHOENIX,AZ,US,1126000.0,Seed,1126000.0,2026-09-21,1,edgar,,,,,
c_435bcbd9b1c2,Sai Narke Enterprises Ltd,,,Business Services,,2026.0,ST PETER PORT,Y7,US,4500000.0,Early,4500000.0,2026-09-21,1,edgar,,,,,
c_c149857ba8f9,"FairAppeal, Inc.",,,Other Technology,,2026.0,CAMDEN,DE,US,,Seed,,2026-09-21,1,edgar,,,,,
c_01b330851b16,"Change Agent AI, Inc.",,,Other Technology,,2024.0,Herndon,VA,US,1797500.0,Seed,1797500.0,2026-09-21,1,edgar,,,,,
c_c03636582eb3,Meca Industries Corp,,,Other Health Care,,2026.0,Middletown,NJ,US,212500.0,Pre-Seed,212500.0,2026-09-21,2,edgar,,,,,
c_cf4fe5ffd36a,"Six68 Technologies, Inc.",,,Other Technology,,2026.0,DENVER,CO,US,5000000.0,Early,5000000.0,2026-09-21,1,edgar,,,,,
c_11ebc85a4a93,"Credit Gnomes, Inc.",,,Other Technology,,2023.0,LIBERTY LAKE,WA,US,,Seed,,2026-09-21,1,edgar,,,,,
c_e7cdadd9326e,Therapeutic Neuromodulation Systems LLC,,,Biotechnology,,,METAIRIE,LA,US,5000000.0,Early,5000000.0,2026-09-21,1,edgar,,,,,
c_632cea50c934,"APOLLO AI LAB, CO.",,,Computers,,2026.0,SAN FRANCISCO,CA,US,,Seed,,2026-09-21,1,edgar,,,,,
c_dbca5647a919,Viva Gold Corp.,,,Other,,,LANGLEY,A1,US,1901323.0,Seed,1901323.0,2026-09-21,1,edgar,,,,,
c_d6bdc4817906,"Laser Light Holdings, Ltd",,,Telecommunications,,2023.0,Reston,VA,US,150000000.0,Later,150000000.0,2026-09-21,1,edgar,,,,,
c_6211627c4b19,Gaingels Coast Pay LLC,,,Other,,2026.0,BURLINGTON,VT,US,72727.0,Pre-Seed,72727.0,2026-09-21,1,edgar,,,,,
c_ea86c2051637,Exep Atlantic Inc.,,,Other,,2026.0,NEW YORK,NY,US,57054.0,Pre-Seed,57054.0,2026-09-21,1,edgar,,,,,
