company_id,name,website_domain,description,industry_primary,verticals,year_founded,hq_city,hq_state,hq_country,funding_total_usd,last_round_type,last_round_size_usd,last_round_date,filing_count,source,github_stars,github_activity_90d,hn_mentions,hn_points,open_job_postings,semantic_sim,stage_fit,geo_fit,traction,investor_signal,hygiene,score,pts_semantic_sim,pts_stage_fit,pts_geo_fit,pts_traction,pts_investor_signal,pts_hygiene
c_e17b1b5154ed,InsForge,insforge.dev,"InsForge is the agent-native AWS: cloud infrastructure that AI coding agents can understand, operate, and recover from end to end.",B2B,,,San Francisco,CA,US,,,,,0,yc,12521.0,1.0,10.0,62.0,,0.49864477,0.5,1.0,1.0,0.0,0.75,58.7,19.95,10.0,10.0,15.0,0.0,3.75
c_0bf31361af82,Interfaze,interfaze.ai,"Interfaze is an AI model built on a new architecture that merges specialized DNN/CNN models with transformers for tasks that require deterministic output and high consistency like Document intelligence, Object detection, Classification, Audio understanding and more.

Interfaze outperforms large lab models like Gemini flash, Claude Sonnet and the GPT-5.4 mini series

Architecture paper: https://arxiv.org/abs/2602.04101
Full open benchmarks: https://interfaze.ai/leaderboards",B2B,,,San Francisco,CA,US,,,,,0,yc,3.0,1.0,8.0,164.0,,0.42681998,0.5,1.0,1.0,0.0,0.75,55.82,17.07,10.0,10.0,15.0,0.0,3.75
c_5a1658af31e1,RentAHuman,rentahuman.ai,Marketplace for AI agents to hire humans.,Consumer,,,San Francisco,CA,US,,,,,0,yc,0.0,0.0,3.0,155.0,,0.51457465,0.5,1.0,0.7310415327848205,0.0,0.75,55.3,20.58,10.0,10.0,10.97,0.0,3.75
c_4bf1d588382a,Gaingels Core Automation LLC,,,Other,,2026.0,BURLINGTON,VT,US,4129716.0,Early,4129716.0,2026-07-28,1,edgar,,,,,,0.39982235,1.0,1.0,0.0,0.34,0.5,51.89,15.99,20.0,10.0,0.0,3.4,2.5
c_c3e03d3f0a42,i2 Health Advisors Inc.,,,Other Technology,,2026.0,SEATTLE,WA,US,3500000.0,Early,3500000.0,2026-07-28,1,edgar,,,,,,0.35635448,1.0,1.0,0.0,0.34,0.5,50.15,14.25,20.0,10.0,0.0,3.4,2.5
c_03e5d6c85615,"Cross Margin Labs, Inc.",,,Computers,,2026.0,NEWARK,DE,US,500000.0,Seed,500000.0,2026-07-28,1,edgar,,,,,,0.3172122,1.0,1.0,0.0,0.34,0.5,48.59,12.69,20.0,10.0,0.0,3.4,2.5
c_bdf8a18686e8,Incandor,incandor.com,"Incandor detects fraud on banking and fintech platforms by learning how every user physically behaves — mouse dynamics, keystroke timing, scroll patterns, and on mobile, how they hold their phone. Founded by two Stanford engineers and backed by Y Combinator, Incandor builds a behavioral map of every user on your platform — no fraud labels or historical data required. At the individual level, it identifies account takeovers with >99% accuracy. At the population level, coordinated rings, mule operators, and coerced sessions separate out naturally. Rather than a black-box risk score, fraud teams query the map via a programmable API.",B2B,,,San Francisco,CA,US,,,,,0,yc,0.0,1.0,4.0,351.0,,0.24220756,0.5,1.0,1.0,0.0,0.75,48.44,9.69,10.0,10.0,15.0,0.0,3.75
c_79b545973310,"Uptime USA Aggregator II, LLC",,,Computers,,2025.0,NEW YORK,NY,US,1190000.0,Seed,1190000.0,2026-07-28,1,edgar,,,,,,0.29978555,1.0,1.0,0.0,0.34,0.5,47.89,11.99,20.0,10.0,0.0,3.4,2.5
c_0420251ec082,Inth,inth.com,"Inth helps fast-moving software teams prevent privacy failures before they reach production.

Privacy risk no longer lives in policy docs, dashboards, and questionnaires. It lives in code: consent flows, data deletion, vendors, logs, AI systems, and agent-written changes that move user data every day.

Inth starts with c15t, an open-source consent and privacy SDK with 3M+ npm downloads, used by teams like Zed, Infisical, and Expo. From there, Inth expands into code-native workflows for consent management, data subject requests, policy enforcement, vendor oversight, and audit-ready evidence.

We make privacy governance programmable, observable, and compliant by default.",B2B,"Artificial Intelligence, Developer Tools, Compliance, Web Development, Trust & Safety",,San Francisco,CA,US,,,,,0,yc,0.0,0.0,36.0,50.0,,0.37738317,0.5,1.0,0.569190058699312,0.0,0.75,47.38,15.1,10.0,10.0,8.54,0.0,3.75
c_6f008de56875,OpenProse,prose.md,OpenProse is building open-source infrastructure for long-running AI work: a declarative language plus a reactive harness/runtime for reliable agent workflows.,B2B,,,San Francisco,CA,US,,,,,0,yc,,,,,,0.5904871,0.5,1.0,0.0,0.0,0.75,47.37,23.62,10.0,10.0,0.0,0.0,3.75
c_1cb9d017634f,Agnost AI,agnost.ai,"Agnost AI helps teams building chat and voice AI agents understand what users want, where they get stuck, and why they drop off.

We read production AI conversations, cluster recurring intents, feature requests, frustration, and failure patterns, then open PRs against prompts, tools, and harnesses to improve the agent.",B2B,"Artificial Intelligence, Developer Tools, Analytics, Monitoring",,San Francisco,CA,US,,,,,0,yc,,,,,,0.57736665,0.5,1.0,0.0,0.0,0.75,46.84,23.09,10.0,10.0,0.0,0.0,3.75
c_0dc19a346bf0,Lab0,lab0.ai,"Enterprise software implementation is broken,  and it has been for decades. 
Every rollout, whether it's a traditional ERP or a new AI system, requires months of manual integration, configuration, and tuning done by armies of system integrators and forward-deployed engineers. 
Lab0 builds agentic systems that automate this layer, compressing months-long implementations into weeks.",B2B,"Artificial Intelligence, SaaS, B2B, Enterprise",,San Francisco,CA,US,,,,,0,yc,,,,,,0.56969416,0.5,1.0,0.0,0.0,0.75,46.54,22.79,10.0,10.0,0.0,0.0,3.75
c_06eec6ed2b3e,Archal,archal.ai,"Modern AI agents can send emails, change code repos, and talk with external APIs. Archal verifies your agent takes the right actions, and opens a fix PR when it doesn't.",B2B,"Artificial Intelligence, Developer Tools, API, Infrastructure",,San Francisco,CA,US,,,,,0,yc,0.0,0.0,0.0,0.0,,0.56897545,0.5,1.0,0.0,0.0,0.75,46.51,22.76,10.0,10.0,0.0,0.0,3.75
c_1f035938a5a2,DMHJV001 INC.,,,Other Technology,,2021.0,SALT LAKE CITY,UT,US,2500000.0,Seed,2500000.0,2026-07-28,1,edgar,,,,,,0.25978032,1.0,1.0,0.0,0.34,0.5,46.29,10.39,20.0,10.0,0.0,3.4,2.5
c_2d680f3c67a6,Accipiter Biosciences Inc.,,,Biotechnology,,2023.0,SEATTLE,WA,US,10492778.0,Early,10492778.0,2026-07-28,1,edgar,,,,,,0.24695797,1.0,1.0,0.0,0.34,0.5,45.78,9.88,20.0,10.0,0.0,3.4,2.5
